127.0.0.1 - - [22/May/2023:12:25:29 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/May/2023:12:25:29 +0900] "GET /Ex08Maven/WEB-INF/classes/com/smhrd/model/MyMemberDAO.java HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/May/2023:12:25:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/May/2023:12:28:25 +0900] "GET /Ex08Maven/index.jsp HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [22/May/2023:12:28:27 +0900] "GET /Ex08Maven/Join.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [22/May/2023:12:28:33 +0900] "GET /Ex08Maven/login.html HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [22/May/2023:12:28:39 +0900] "POST /Ex08Maven/login.html HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [22/May/2023:12:28:41 +0900] "GET /Ex08Maven/login.html HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [22/May/2023:12:29:32 +0900] "GET /Ex08Maven/index.jsp HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [22/May/2023:12:29:32 +0900] "GET /Ex08Maven/index.jsp HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [22/May/2023:12:29:32 +0900] "GET /Ex08Maven/index.jsp HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [22/May/2023:12:29:45 +0900] "GET /Ex08Maven/index.jsp HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [22/May/2023:12:29:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/May/2023:12:29:58 +0900] "POST /Ex08Maven/login.html HTTP/1.1" 200 126
